segment,description,new_name,segment_name
36,"This segment represents car-dependent, regionally-based Australians with lower educational attainment (typically Year 10 completion) and modest incomes. They exhibit significantly higher rates of long-term health conditions, particularly asthma, mental health issues, and arthritis across all age groups, alongside elevated caregiving responsibilities and disability support needs compared to the national average.","36 Aging anglo country towns, comfortable","Aging anglo country towns, comfortable"
37,"This segment is characterized by significantly elevated rates of long-term health conditions (especially mental health issues) across all age groups, higher proportions of Indigenous Australians, and more complex family structures including blended families, single parents, and young de facto couples. The population shows lower-middle incomes, modest housing costs, employment concentrated in healthcare and community services, and notably higher rates of disability assistance needs compared to the Australian average.",37 Aging country town with signs of change,Aging country town with signs of change
38,"This segment dramatically over-represents elderly Australians (65+) with significantly higher rates of chronic health conditions, disability assistance needs, and outright home ownership. Unlike the general population, it's characterized by lone-person households, modest fixed incomes, lower educational attainment, and strong representation of veterans and European-born migrants, reflecting traditional retirement communities.",38 Primarily coastal retirement and struggling youth,Primarily coastal retirement and struggling youth
39,"This segment represents larger, multi-generational families in rural or semi-rural settings, characterized by couples with multiple children (including non-dependent adult children still at home) and high vehicle ownership. They differ from typical Australians through their agricultural lifestyle, larger family sizes across generations, part-time vocational education patterns, and notably higher rates of men doing extensive domestic work, suggesting family-based farming operations.","39 Poultry, horses and other livestock","Poultry, horses and other livestock"
40,"This segment is characterized by an unusually high concentration of elderly residents (85+ years) in de facto relationships and group household arrangements, suggesting retirement or aged care communities. The Maltese ancestry and ""Other Christian"" religious affiliation indicate specific cultural heritage, while the notably high dementia rates among younger residents (45-54) may reflect specialized care facilities within these horticultural communities.","40 Horticulture, flowers, turf and aquaculture","Horticulture, flowers, turf and aquaculture"
41,"This segment represents older, established regional Australian families with strong Christian values and larger-than-average families (3-4+ children). Residents typically have trade/technical qualifications rather than university degrees, with many completing education at Year 10, and work in industries like mining, machinery operation, and trades—reflecting the agricultural/industrial nature of cotton and sugar-growing regions.",41 Cotton and sugar,Cotton and sugar
42,"This segment represents rural/regional communities centered around agricultural industries, particularly wine-growing areas with German heritage. The population skews older with lower formal education levels (Year 11 completion), higher part-time employment, strong volunteering culture, and larger families, reflecting traditional farming lifestyles distinct from urban Australia.",42 Viticulture,Viticulture
43,"This segment represents recently arrived migrant communities with limited English proficiency, characterized by higher rates of labourer occupations and specific religious affiliations (Seventh-day Adventist, Jehovah's Witnesses). They differ from mainstream Australia through their recent immigration status, language barriers, and distinct cultural-religious practices.",43 Fruit and nut,Fruit and nut
44,"This segment comprises older, established couples (55-74 years) in regional areas, skewing towards retirement age with lower formal education levels. Males perform significantly more unpaid domestic work than the Australian average, suggesting rural/farming lifestyles. The segment is characterized by Anglican/Presbyterian faith, multiple vehicles per household, and long-term Australian residence.",44 Beef and sheep,Beef and sheep
45,"This segment represents older, established rural farming families, skewing 55+ years, with larger families (3-4+ children) and strong agricultural ties. They own separate houses outright with multiple vehicles, have lower formal education (Year 11), and show high rates of unpaid domestic work, particularly among males. Their lifestyle reflects traditional farming communities with Dutch/South African heritage, vocational training, and strong volunteer participation.",45 Dairy farms,Dairy farms
46,"This segment represents rural farming families with larger-than-average households (3-5 children), working in agricultural management roles with relevant qualifications. They differ from typical Australians through higher rates of home ownership with low mortgages, stronger Christian religious affiliation, lower educational attainment (Year 11), and traditional family structures with both parents Australian-born.",46 Broadacre crops,Broadacre crops
47,"This segment represents remote mining workforce communities with significantly higher proportions of machinery operators, labourers, and mining industry workers, alongside substantially over-represented Aboriginal and Torres Strait Islander populations across all age groups. The areas feature transient accommodation (caravans, studio apartments, unoccupied dwellings), multiple vehicles per household, and distinctive demographics including visitors, young marriages, and larger families.",47 Mine sites,Mine sites
48,"This segment is characterized by predominantly Aboriginal and Torres Strait Islander populations with significantly larger families (4-6+ children) starting at younger ages compared to mainstream Australia. These communities show higher rates of de facto partnerships, lone parenthood, young marriage, lower educational attainment (Year 8-10), higher unemployment, reliance on public housing, lower incomes, and strong community-based childcare arrangements, reflecting distinct cultural family structures and socioeconomic disadvantage.",48 Remote Aboriginal communities,Remote Aboriginal communities
49,"This segment represents transient and institutional populations, including military bases, aged care facilities, and temporary accommodation areas. It's characterized by very high proportions of visitors, non-residential dwellings (caravans, studio apartments), active defence force personnel, elderly residents with dementia requiring assistance, and recent migrants with limited English proficiency—vastly different from typical Australian residential neighborhoods.",49 Primarily non residential,Primarily non residential
50,"This segment represents remote/rural working-age communities with strong mining and trades employment, characterized by higher rates of de facto relationships, larger families, and male domestic work participation. The population skews toward middle-aged residents (55-64) with vocational qualifications, diverse migrant backgrounds, and higher Indigenous representation than urban Australia. Notable for transient populations, alternative dwellings like caravans, and residents frequently counted away from home on Census night.",50 Sparsely populated remote and rural,Sparsely populated remote and rural
