segment,segment_name,ranking,Short,Long,numerator_denominator,Table Number,Table Name
1,"High education and income, focus on health",3,Tert_Uni_oth_h_edu_Pt_15_24_P,Tertiary_University_or_other_higher_education_Part_time_student_Aged_15_24_years_Persons,Tert_Uni_oth_h_edu_Pt_15_24_P|Tert_Tot_Tert_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
1,"High education and income, focus on health",3,P_0_cond_65_74,PERSONS_Count_of_selected_long_term_health_conditions_None_of_the_selected_conditions_Age_65_74_years,P_0_cond_65_74|P_Tot_65_74,G20,Count of Selected Long-Term Health Conditions by Age by Sex
1,"High education and income, focus on health",3,P_20_24_yr_Not_married,PERSONS_20_24_years_Not_married,P_20_24_yr_Not_married|P_20_24_yr_Total,G06,Social Marital Status by Age by Sex
1,"High education and income, focus on health",3,non_sch_qual_PostGrad_Dgre_P,Highest_non_school_qualifications_Postgraduate_Degree_Level_Persons,non_sch_qual_PostGrad_Dgre_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
1,"High education and income, focus on health",3,P_45_54_yr_Marrd_reg_marrge,PERSONS_45_54_years_Married_in_a_registered_marriage,P_45_54_yr_Marrd_reg_marrge|P_45_54_yr_Total,G06,Social Marital Status by Age by Sex
1,"High education and income, focus on health",3,P_Ptn_in_RM_85ov,PERSONS_Partner_in_a_registered_marriage_Age_85_years_and_over,P_Ptn_in_RM_85ov|P_Tot_85ov,G27,Relationship in Household by Age by Sex
1,"High education and income, focus on health",3,M_4000_4999_1PFNC_und15,4000_4999_One_parent_family_with_No_children_under_15,M_4000_4999_1PFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
1,"High education and income, focus on health",3,R_850_949_LT_Real_estat_agent,850_and_949_Landlord_type_Real_estate_agent,R_850_949_LT_Real_estat_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
1,"High education and income, focus on health",3,R_750_849_LT_Real_eSte_agent,750_and_849_Landlord_type_Real_estate_agent,R_750_849_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
1,"High education and income, focus on health",3,Hungarian_Tot_resp,Hungarian_Total_responses,Hungarian_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
1,"High education and income, focus on health",3,Polish_Tot_resp,Polish_Total_responses,Polish_Tot_resp|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
1,"High education and income, focus on health",3,P_85_ov_Num_chld_evr_brn_3,Age_group_of_parent_85_years_and_over_Number_of_children_ever_born_Three_children,P_85_ov_Num_chld_evr_brn_3|P_85ov_Total,G28,Number of Children Ever Born 
1,"High education and income, focus on health",3,P_85ov_Marrd_reg_marrge,PERSONS_85_years_and_over_Married_in_a_registered_marriage,P_85ov_Marrd_reg_marrge|P_85ov_Total,G06,Social Marital Status by Age by Sex
2,High income mature Anglo families,1,M_35_44y_DUDW_15_29_h,MALES_35_44_years_Did_unpaid_domestic_work_15_29_hours,M_35_44y_DUDW_15_29_h|M_35_44y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_65_74y_DUDW_5_14_h,MALES_65_74_years_Did_unpaid_domestic_work_5_14_hours,M_65_74y_DUDW_5_14_h|M_65_74y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_55_64y_DUDW_5_14_h,MALES_55_64_years_Did_unpaid_domestic_work_5_14_hours,M_55_64y_DUDW_5_14_h|M_55_64y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_45_54y_DUDW_15_29_h,MALES_45_54_years_Did_unpaid_domestic_work_15_29_hours,M_45_54y_DUDW_15_29_h|M_45_54y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_45_54y_DUDW_5_14_h,MALES_45_54_years_Did_unpaid_domestic_work_5_14_hours,M_45_54y_DUDW_5_14_h|M_45_54y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_Tot_DUDW_5_14_h,MALES_Total_Did_unpaid_domestic_work_5_14_hours,M_Tot_DUDW_5_14_h|M_Tot_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_35_44y_DUDW_5_14_h,MALES_35_44_years_Did_unpaid_domestic_work_5_14_hours,M_35_44y_DUDW_5_14_h|M_35_44y_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,1,M_4000_4999_CFNC_und15,4000_4999_Couple_family_with_No_children_under_15,M_4000_4999_CFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,1,M_3000_3999_CF_C_und15,3000_3999_Couple_family_with_Children_under_15,M_3000_3999_CF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,1,P_GradDip_and_GradCert_Total,PERSONS_Graduate_Diploma_and_Graduate_Certificate_Level_Total,P_GradDip_and_GradCert_Total|P_Tot_Total,G49,Highest Non-School Qualification:  Level of Education by Age by Sex
2,High income mature Anglo families,1,P_Ptn_in_RM_45_54,PERSONS_Partner_in_a_registered_marriage_Age_45_54_years,P_Ptn_in_RM_45_54|P_Tot_45_54,G27,Relationship in Household by Age by Sex
2,High income mature Anglo families,1,Othr_typ_educ_inst_Pt_stud_P,Other_type_of_education_institution_Part_time_student_Persons,Othr_typ_educ_inst_Pt_stud_P|Other_type_educ_instit_Tot_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
2,High income mature Anglo families,1,Tert_Uni_oth_h_edu_Pt_15_24_P,Tertiary_University_or_other_higher_education_Part_time_student_Aged_15_24_years_Persons,Tert_Uni_oth_h_edu_Pt_15_24_P|Tert_Tot_Tert_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
2,High income mature Anglo families,1,M_3000_3999_Tot,3000_3999_Total,M_3000_3999_Tot|Tot_Tot,G38,Mortgage Repayment (Monthly) by Dwelling Structure
2,High income mature Anglo families,1,M_3000_3999_Tot,3000_3999_Total,M_3000_3999_Tot|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,1,M_4000_4999_CF_C_und15,4000_4999_Couple_family_with_Children_under_15,M_4000_4999_CF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,1,Num_MVs_per_dweling_Tot,Number_of_motor_vehicles_per_dwelling_Total_Dwellings,Num_MVs_per_dweling_Tot|Total_dwelings,G34,Number of Motor Vehicles by Dwellings
2,High income mature Anglo families,1,Tot_P_MO_B_OS,Total_Persons_Mother_only_born_overseas,Tot_P_MO_B_OS|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
2,High income mature Anglo families,1,Age_psns_att_edu_inst_15_19_P,Age_of_Persons_attending_an_education_institution_15_19_years_Persons,Age_psns_att_edu_inst_15_19_P|Tot_P_P,G01,Selected Person Characteristics by Sex
2,High income mature Anglo families,1,P_20_24_yr_Never_married,PERSONS_20_24_years_Never_married,P_20_24_yr_Never_married|P_20_24_yr_Tot,G05,Registered Marital Status by Age by Sex
2,High income mature Anglo families,1,P_Emp_PartT_20_24,PERSONS_Employed_worked_Part_time_Age_20_24_years,P_Emp_PartT_20_24|P_Tot_20_24,G46,Labour Force Status by Age by Sex
2,High income mature Anglo families,1,P_45_54_yr_Married,PERSONS_45_54_years_Married,P_45_54_yr_Married|P_45_54_yr_Tot,G05,Registered Marital Status by Age by Sex
2,High income mature Anglo families,1,P_40_44_Num_chld_evr_brn_2,Age_group_of_parent_40_44_years_Number_of_children_ever_born_Two_children,P_40_44_Num_chld_evr_brn_2|P_40_44_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,1,P_45_54_yr_Marrd_reg_marrge,PERSONS_45_54_years_Married_in_a_registered_marriage,P_45_54_yr_Marrd_reg_marrge|P_45_54_yr_Total,G06,Social Marital Status by Age by Sex
2,High income mature Anglo families,1,M_3000_3999_CFNC_und15,3000_3999_Couple_family_with_No_children_under_15,M_3000_3999_CFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,1,P_45_49_Num_chld_evr_brn_2,Age_group_of_parent_45_49_years_Number_of_children_ever_born_Two_children,P_45_49_Num_chld_evr_brn_2|P_45_49_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,1,Tot_P_FO_B_OS,Total_Persons_Father_only_born_overseas,Tot_P_FO_B_OS|Tot_P_Tot_resp,G08,Ancestry by Country of Birth of Parents
2,High income mature Anglo families,2,P_60_64_Num_chld_evr_brn_2,Age_group_of_parent_60_64_years_Number_of_children_ever_born_Two_children,P_60_64_Num_chld_evr_brn_2|P_60_64_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,2,P_70_74_Num_chld_evr_brn_2,Age_group_of_parent_70_74_years_Number_of_children_ever_born_Two_children,P_70_74_Num_chld_evr_brn_2|P_70_74_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,2,P_55_59_Num_chld_evr_brn_2,Age_group_of_parent_55_59_years_Number_of_children_ever_born_Two_children,P_55_59_Num_chld_evr_brn_2|P_55_59_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,2,P_50_54_Num_chld_evr_brn_2,Age_group_of_parent_50_54_years_Number_of_children_ever_born_Two_children,P_50_54_Num_chld_evr_brn_2|P_50_54_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,2,P_75_79_Num_chld_evr_brn_2,Age_group_of_parent_75_79_years_Number_of_children_ever_born_Two_children,P_75_79_Num_chld_evr_brn_2|P_75_79_yrs_Total,G28,Number of Children Ever Born 
2,High income mature Anglo families,2,CF_C_FBO_Tot,Couple_family_with_children_Father_only_born_overseas_Total,CF_C_FBO_Tot|Tot_Tot,G30,Family Composition and Country of Birth of Parents by Age of Dependent Children
2,High income mature Anglo families,2,P_65_74_Prvided_unpaid_assist,PERSONS_65_74_years_Provided_unpaid_assistance,P_65_74_Prvided_unpaid_assist|P_65_74_Tot,G25,Unpaid Assistance to a Person with a Disability Health Condition or Due to Old Age by Age by Sex
2,High income mature Anglo families,2,F_Tot_DUDW_15_29_h,FEMALES_Total_Did_unpaid_domestic_work_15_29_hours,F_Tot_DUDW_15_29_h|F_Tot_Total,G24,Unpaid Domestic Work:  Number of Hours by Age by Sex 
2,High income mature Anglo families,2,Age_45_54_yr_P,Age_groups_45_54_years_Persons,Age_45_54_yr_P|Tot_P_P,G01,Selected Person Characteristics by Sex
2,High income mature Anglo families,2,P_3000_3499_Tot,PERSONS_3000_3499_Total,P_3000_3499_Tot|P_Tot_Tot,G17,Total Personal Income (Weekly) by Age by Sex
2,High income mature Anglo families,2,Age_yr_45_49_P,Age_years_45_49_years_Persons,Age_yr_45_49_P|Tot_P,G04,Age by Sex
2,High income mature Anglo families,2,Age_yr_50_54_P,Age_years_50_54_years_Persons,Age_yr_50_54_P|Tot_P,G04,Age by Sex
2,High income mature Anglo families,2,P_20_24_yr_Not_married,PERSONS_20_24_years_Not_married,P_20_24_yr_Not_married|P_20_24_yr_Total,G06,Social Marital Status by Age by Sex
2,High income mature Anglo families,2,non_sch_qual_Gr_Dip_Gr_Crt_P,Highest_non_school_qualifications_Graduate_Diploma_and_Graduate_Certificate_Level_Persons,non_sch_qual_Gr_Dip_Gr_Crt_P|lfs_Tot_LF_P,G43,Selected Labour Force Education and Migration Characteristics by Sex
2,High income mature Anglo families,2,R_850_949_LT_Real_estat_agent,850_and_949_Landlord_type_Real_estate_agent,R_850_949_LT_Real_estat_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
2,High income mature Anglo families,2,R_750_849_LT_Real_eSte_agent,750_and_849_Landlord_type_Real_estate_agent,R_750_849_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
2,High income mature Anglo families,2,R_650_749_LT_Real_eSte_agent,650_and_749_Landlord_type_Real_estate_agent,R_650_749_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
2,High income mature Anglo families,2,P_Y12e_20_24,PERSONS_Year_12_or_equivalent_Age_20_24_years,P_Y12e_20_24|P_Tot_20_24_yrs,G16,Highest Year of School Completed by Age by Sex
2,High income mature Anglo families,2,M_4000_4999_1PF_C_und15,4000_4999_One_parent_family_with_Children_under_15,M_4000_4999_1PF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,2,P_Y12e_45_54,PERSONS_Year_12_or_equivalent_Age_45_54_years,P_Y12e_45_54|P_Tot_45_54_yrs,G16,Highest Year of School Completed by Age by Sex
2,High income mature Anglo families,2,Secondary_Catholic_P,Secondary_Catholic_Persons,Secondary_Catholic_P|Secondary_Tot_Secondary_P,G15,Type of Educational Institution Attending (Full-time/Part-Time Student Status by Age) by Sex
2,High income mature Anglo families,3,HI_4000_more_Fam_households,4000_or_more_Family_households,HI_4000_more_Fam_households|Tot_Family_households,G33,Total Household Income (Weekly) by Household Composition
2,High income mature Anglo families,3,CF_no_ChU15_a_DSs_a_no_NdCh_P,Couple_family_with_no_children_under_15_and_with_dependent_students_and_no_non_dependent_children_Persons,CF_no_ChU15_a_DSs_a_no_NdCh_P|CF_Total_P,G29,Family Composition
2,High income mature Anglo families,3,M_5000over_CFNC_und15,5000_and_over_Couple_family_with_No_children_under_15,M_5000over_CFNC_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,3,M_5000over_CF_C_und15,5000_and_over_Couple_family_with_Children_under_15,M_5000over_CF_C_und15|Tot_Tot,G39,Mortgage Repayment (Monthly) by Family Composition
2,High income mature Anglo families,3,R_950_over_LT_Real_eSte_agent,950_and_over_Landlord_type_Real_estate_agent,R_950_over_LT_Real_eSte_agent|Tot_Tot,G40,Rent (Weekly) by Landlord Type
2,High income mature Anglo families,3,M_4000_over_Tot,4000_and_over_Total,M_4000_over_Tot|Tot_Tot,G38,Mortgage Repayment (Monthly) by Dwelling Structure
2,High income mature Anglo families,3,CF_C_MBO_Tot,Couple_family_with_children_Mother_only_born_overseas_Total,CF_C_MBO_Tot|Tot_Tot,G30,Family Composition and Country of Birth of Parents by Age of Dependent Children
